,date,prcp
0,2016-08-22,0.4
1534,2016-08-22,2.32
362,2016-08-22,0.94
1887,2016-08-22,1.2
1196,2016-08-22,0.4
1,2016-08-23,0.0
707,2016-08-23,0.05
1197,2016-08-23,0.02
1888,2016-08-23,0.7
1535,2016-08-23,1.79
363,2016-08-23,0.15
1536,2016-08-24,2.15
1889,2016-08-24,1.45
2,2016-08-24,0.08
1198,2016-08-24,1.22
708,2016-08-24,2.28
364,2016-08-24,2.15
1015,2016-08-25,0.0
709,2016-08-25,0.0
365,2016-08-25,0.08
3,2016-08-25,0.08
1890,2016-08-25,0.11
1199,2016-08-25,0.21
1537,2016-08-25,0.06
710,2016-08-26,0.02
1016,2016-08-26,0.04
4,2016-08-26,0.0
1200,2016-08-26,0.0
1538,2016-08-26,0.01
366,2016-08-26,0.03
1539,2016-08-27,0.12
5,2016-08-27,0.0
367,2016-08-27,0.18
1201,2016-08-27,0.0
711,2016-08-27,0.02
368,2016-08-28,0.14
1540,2016-08-28,0.6
712,2016-08-28,0.14
1892,2016-08-28,2.07
6,2016-08-28,0.01
1202,2016-08-28,0.14
1893,2016-08-29,0.9
369,2016-08-29,0.17
7,2016-08-29,0.0
1203,2016-08-29,0.0
1541,2016-08-29,0.35
713,2016-08-29,0.04
1542,2016-08-30,0.0
1204,2016-08-30,0.0
370,2016-08-30,0.0
1018,2016-08-30,0.02
1894,2016-08-30,0.05
8,2016-08-30,0.0
1895,2016-08-31,2.46
9,2016-08-31,0.13
1543,2016-08-31,0.24
1205,2016-08-31,0.25
371,2016-08-31,0.1
10,2016-09-01,0.0
372,2016-09-01,0.0
1544,2016-09-01,0.02
715,2016-09-01,0.0
1896,2016-09-01,0.01
1545,2016-09-02,0.01
11,2016-09-02,0.0
716,2016-09-02,0.19
1897,2016-09-02,0.03
373,2016-09-02,0.02
1546,2016-09-03,0.12
1207,2016-09-03,0.08
12,2016-09-03,0.0
374,2016-09-03,0.07
1898,2016-09-03,1.0
1547,2016-09-04,0.14
13,2016-09-04,0.03
1208,2016-09-04,0.74
375,2016-09-04,0.03
1899,2016-09-04,0.44
376,2016-09-05,0.11
1209,2016-09-05,0.02
1548,2016-09-05,0.03
1900,2016-09-05,0.18
1549,2016-09-06,0.11
1901,2016-09-06,1.0
377,2016-09-06,0.05
1210,2016-09-06,0.03
718,2016-09-06,0.04
719,2016-09-07,0.23
16,2016-09-07,0.05
1550,2016-09-07,0.16
1211,2016-09-07,0.11
378,2016-09-07,0.1
1902,2016-09-07,1.35
1551,2016-09-08,0.07
1212,2016-09-08,0.01
17,2016-09-08,0.0
720,2016-09-08,0.01
1903,2016-09-08,0.15
379,2016-09-08,0.22
1213,2016-09-09,0.23
1904,2016-09-09,0.35
1552,2016-09-09,0.16
18,2016-09-09,0.03
721,2016-09-09,0.29
380,2016-09-09,0.01
1905,2016-09-10,1.16
1553,2016-09-10,0.09
19,2016-09-10,0.0
1214,2016-09-10,0.14
381,2016-09-10,0.01
1215,2016-09-11,0.12
1906,2016-09-11,0.6
1554,2016-09-11,0.3
382,2016-09-11,0.18
20,2016-09-11,0.05
1555,2016-09-12,0.31
383,2016-09-12,0.04
1907,2016-09-12,1.04
1216,2016-09-12,0.15
21,2016-09-12,0.0
1556,2016-09-13,0.34
1908,2016-09-13,1.2
723,2016-09-13,0.32
22,2016-09-13,0.02
1217,2016-09-13,0.46
384,2016-09-13,0.37
1218,2016-09-14,1.19
385,2016-09-14,0.9
724,2016-09-14,1.84
1557,2016-09-14,2.33
23,2016-09-14,1.32
1909,2016-09-14,6.7
1219,2016-09-15,0.17
386,2016-09-15,0.12
1910,2016-09-15,3.35
725,2016-09-15,0.07
1558,2016-09-15,0.83
24,2016-09-15,0.42
1559,2016-09-16,0.06
1220,2016-09-16,0.01
1911,2016-09-16,0.61
726,2016-09-16,0.07
1028,2016-09-16,0.0
25,2016-09-16,0.06
387,2016-09-16,0.01
26,2016-09-17,0.05
388,2016-09-17,0.04
1912,2016-09-17,0.23
1221,2016-09-17,0.0
1560,2016-09-17,0.36
27,2016-09-18,0.0
1913,2016-09-18,0.42
1561,2016-09-18,0.07
389,2016-09-18,0.0
1222,2016-09-18,0.04
1562,2016-09-19,0.01
1223,2016-09-19,0.05
28,2016-09-19,0.0
1914,2016-09-19,0.25
390,2016-09-19,0.01
29,2016-09-20,0.0
1030,2016-09-20,0.0
391,2016-09-20,0.09
1915,2016-09-20,0.43
1224,2016-09-20,0.04
1563,2016-09-20,0.22
728,2016-09-20,0.25
30,2016-09-21,0.0
729,2016-09-21,0.02
1225,2016-09-21,0.0
392,2016-09-21,0.06
1916,2016-09-21,1.02
1564,2016-09-21,0.07
1031,2016-09-22,0.06
1917,2016-09-22,0.75
1565,2016-09-22,0.34
1226,2016-09-22,0.01
31,2016-09-22,0.02
730,2016-09-22,0.17
393,2016-09-22,0.09
1227,2016-09-23,0.0
394,2016-09-23,0.15
1918,2016-09-23,0.33
731,2016-09-23,0.15
32,2016-09-23,0.0
1032,2016-09-23,0.0
1566,2016-09-23,0.94
1228,2016-09-24,0.0
1567,2016-09-24,0.01
1919,2016-09-24,0.27
732,2016-09-24,0.0
395,2016-09-24,0.0
33,2016-09-24,0.0
396,2016-09-25,0.02
1568,2016-09-25,0.03
34,2016-09-25,0.0
1920,2016-09-25,0.04
733,2016-09-25,0.0
1229,2016-09-25,0.0
1921,2016-09-26,1.02
734,2016-09-26,0.02
397,2016-09-26,0.06
1230,2016-09-26,0.34
35,2016-09-26,0.06
1569,2016-09-26,0.17
398,2016-09-27,0.12
1231,2016-09-27,0.05
735,2016-09-27,0.0
1570,2016-09-27,0.17
36,2016-09-27,0.02
1922,2016-09-27,1.0
1232,2016-09-28,0.0
736,2016-09-28,0.0
1923,2016-09-28,0.05
399,2016-09-28,0.08
37,2016-09-28,0.0
1034,2016-09-28,0.0
1571,2016-09-28,0.0
400,2016-09-29,0.49
1233,2016-09-29,0.18
1924,2016-09-29,1.49
38,2016-09-29,0.0
737,2016-09-29,0.2
1572,2016-09-29,0.59
1035,2016-09-29,0.04
401,2016-09-30,0.31
1925,2016-09-30,0.38
39,2016-09-30,0.0
738,2016-09-30,0.06
1573,2016-09-30,0.25
1234,2016-09-30,0.15
1574,2016-10-01,0.14
40,2016-10-01,0.0
739,2016-10-01,0.08
402,2016-10-01,0.14
1235,2016-10-01,0.07
1926,2016-10-01,1.02
1575,2016-10-02,0.06
403,2016-10-02,0.02
1927,2016-10-02,0.61
1236,2016-10-02,0.0
41,2016-10-02,0.0
740,2016-10-02,0.03
1576,2016-10-03,0.16
404,2016-10-03,0.04
1928,2016-10-03,0.46
42,2016-10-03,0.0
1237,2016-10-03,0.0
741,2016-10-03,0.03
1929,2016-10-04,3.46
1577,2016-10-04,0.03
742,2016-10-04,0.0
1238,2016-10-04,0.0
43,2016-10-04,0.0
405,2016-10-04,0.0
1239,2016-10-05,0.0
44,2016-10-05,0.0
406,2016-10-05,0.0
1930,2016-10-05,0.81
743,2016-10-05,0.0
1578,2016-10-05,0.01
1240,2016-10-06,0.0
45,2016-10-06,0.0
1931,2016-10-06,0.04
744,2016-10-06,0.0
1040,2016-10-06,0.07
1579,2016-10-06,0.0
407,2016-10-06,0.05
1932,2016-10-07,0.01
745,2016-10-07,0.0
46,2016-10-07,0.0
1580,2016-10-07,0.0
1241,2016-10-07,0.0
408,2016-10-07,0.0
1242,2016-10-08,0.0
1933,2016-10-08,0.04
1581,2016-10-08,0.0
409,2016-10-08,0.0
47,2016-10-08,0.0
1934,2016-10-09,0.0
1582,2016-10-09,0.0
48,2016-10-09,0.0
1243,2016-10-09,0.0
410,2016-10-09,0.0
1583,2016-10-10,0.0
1935,2016-10-10,0.0
49,2016-10-10,0.0
1244,2016-10-10,0.0
411,2016-10-10,0.0
747,2016-10-11,0.04
1584,2016-10-11,0.28
412,2016-10-11,0.02
1936,2016-10-11,0.35
